Date,Open,High,Low,Close,Adj Close,Volume
7/27/2020,484.51001,497.790009,477.51001,488.880005,488.880005,32994500
8/3/2020,490.859985,510.820007,486.679993,494.730011,494.730011,25430800
8/10/2020,493.350006,497.459991,466.549988,482.679993,482.679993,23414000
8/17/2020,484.190002,498.940002,479.100006,492.309998,492.309998,18139000
8/24/2020,495.440002,549.039978,483.160004,523.890015,523.890015,44344000
8/31/2020,521.159973,557.390015,485.980011,516.049988,516.049988,37751400
9/7/2020,498.399994,522,476.809998,482.029999,482.029999,23696200
9/14/2020,480.619995,504.660004,458.600006,469.959991,469.959991,29188000
9/21/2020,467.690002,491.820007,466.320007,482.880005,482.880005,20162800
9/28/2020,489.109985,529.549988,477.880005,503.059998,503.059998,27174000
10/5/2020,506.799988,544.280029,501.700012,539.440002,539.440002,26443600
10/12/2020,548.809998,572.48999,530.030029,530.789978,530.789978,31964200
10/19/2020,537.070007,541.799988,481.350006,488.279999,488.279999,46946200
10/26/2020,487.029999,513.900024,472.209991,475.73999,475.73999,34734600
11/2/2020,478.869995,518.72998,475,514.72998,514.72998,22844800
11/9/2020,485.540009,496.519989,463.410004,482.839996,482.839996,32252700
11/16/2020,480,494.76001,477.299988,488.23999,488.23999,17789000
11/23/2020,490.459991,493.25,475.839996,491.359985,491.359985,15371500
11/30/2020,490.079987,509.470001,481.269989,498.309998,498.309998,18114800
12/7/2020,500.01001,521.48999,491.290009,503.220001,503.220001,18926200
12/14/2020,505.440002,536.369995,501.179993,534.450012,534.450012,20547100
12/21/2020,530.049988,532.619995,512.210022,513.969971,513.969971,9337800
12/28/2020,516.429993,545.5,507.130005,540.72998,540.72998,14182900
1/4/2021,539,540.799988,499.5,510.399994,510.399994,19584800
1/11/2021,507.839996,514.5,485.670013,497.980011,497.980011,24908400
1/18/2021,501,593.289978,493.540009,565.169983,565.169983,64344700
1/25/2021,567,569.75,515.72998,532.390015,532.390015,31191900
2/1/2021,536.789978,559.47998,531.72998,550.789978,550.789978,18026200
2/8/2021,555,566.650024,543,556.52002,556.52002,15409100
2/15/2021,557.289978,563.630005,538.22998,540.219971,540.219971,9991400
2/22/2021,534.98999,556.849976,518.280029,538.849976,538.849976,18467600
3/1/2021,545.570007,556.98999,498.790009,516.390015,516.390015,21531800
3/8/2021,514.460022,530.23999,492.850006,518.02002,518.02002,19901200
3/15/2021,516.320007,533.419983,501.630005,512.179993,512.179993,17972900
3/22/2021,509.130005,543.119995,496.679993,508.049988,508.049988,21437300
3/29/2021,505.660004,540.5,504.399994,539.419983,539.419983,13189800
4/5/2021,540.01001,556.900024,529.22998,555.309998,555.309998,16177800
4/12/2021,551.049988,559.75,538.530029,546.539978,546.539978,15749800
4/19/2021,546.900024,556.440002,545.530029,554.440002,554.440002,4273000
